Material,GMSG,MatTp,MrpTp,UsageCat,Dormant,Critical,GMSG DESCRIPTION,Category,Recommendation,UOM,IssueMovs,AnnualUsage,1YrRetMovs,1YrReturns,3YrMovs,3YrUsage,3YrRetMovs,3YrReturns,Calc3YrUsage,Calc3YrIssueQty,CurMin,CurFLS,MaxIpes,SdtMin,SdtFLS,IaMin,IaFLS,IaMax,SAPMin,SAPFLS,SAPMin-/-IaMin,SAPFLS-/-IaFLS,SAP Not Updated,SAP Max,IA QTY X UNIT VALUE,Current SS in IPES,UpdMin,UpdFLS,MinPoQty,LeadTime,DelC,DelP,MmPpSt,StkOH,Amt,MAP,CurMin Value,SdtMin Value,IaMin Value,SAPMinValue,CurMaxValue,IaMaxValue,SAPMaxValue,UsdMap,Less250,ObsQ,StorageBin,RevGp,OverStk,LastSt,StDesc,LastRevDt,Observation,Suggestion,PrevRev,PrevUsage,IssueMovsOth,AnnualUsageOth,Drill,FmsId,MrpGp
72476,3599,INV,ST,Fast,,,Other Lubricant Additives,Chemicals & Lubes,Maintain Current Safety Stock,EA,11,85,0,0,12,95,0,0,30.666666,4,40,0,40,20,28,40,0,40,40,0,40,-40,0,40," 6,920.00 ",40,0,,0,130,,,,10,"340,614.50","34,061.45","1,362,458.00","681,229.00","1,362,458.00","1,362,458.00","1,362,458.00","1,362,458.00","1,362,458.00",173.00,,0,6967650020,1,,2,Selected for Review,18-Sep-15,,,,,,,,78494,
79991,2899,INV,ST,Fast,,,Construction/Maintenance Services - Other ,Others,Maintain Current Safety Stock,EA,21,361,0,0,34,2021,0,0,673.333333,10,8,0,8,390,673,8,0,8,8,0,8,-8,0,8, 32.00 ,8,0,,0,130,,,,0,0.00,845.25,"6,762.00","329,647.50","6,762.00","6,762.00","6,762.00","6,762.00","6,762.00",4.00,,2,,1,,2,Selected for Review,18-Sep-15,,,,,,,,79133,
79992,2899,INV,ST,Fast,,,Construction/Maintenance Services - Other ,Others,Maintain Current Safety Stock,EA,27,1818,0,0,29,1863,0,0,620,10,8,0,8,360,620,8,0,8,8,0,8,-8,0,8, 40.00 ,8,0,,0,130,,,,0,0.00,886.76,"7,094.08","319,233.60","7,094.08","7,094.08","7,094.08","7,094.08","7,094.08",5.00,,2,,1,,2,Selected for Review,18-Sep-15,,,,,,,,79134,
79993,2899,INV,ST,Fast,,,Construction/Maintenance Services - Other ,Others,Maintain Current Safety Stock,EA,22,215,0,0,36,1814,0,0,603.333333,10,8,0,8,350,603,8,0,8,8,0,8,-8,0,8, 32.00 ,8,0,,0,130,,,,8,"6,762.00",845.25,"6,762.00","295,837.50","6,762.00","6,762.00","6,762.00","6,762.00","6,762.00",4.00,,2,D07 19TOP,1,,2,Selected for Review,18-Sep-15,,,,,,,,79135,
79994,2899,INV,ST,Fast,,,Construction/Maintenance Services - Other ,Others,Maintain Current Safety Stock,EA,34,361,0,0,45,1995,0,0,663.333333,10,8,0,8,390,663,8,0,8,8,0,8,-8,0,8, 32.00 ,8,0,,0,130,,,,8,"6,762.00",845.25,"6,762.00","329,647.50","6,762.00","6,762.00","6,762.00","6,762.00","6,762.00",4.00,,2,D07 19TOP,1,,2,Selected for Review,18-Sep-15,,,,,,,,79136,
242061,2462,INV,ST,Fast,,,Compressors (excl. Turbine Driven),Others,Maintain Current Safety Stock,EA,6,28,0,0,10,56,0,0,18.666666,2,9,16,24,12,19,9,15,23,9,16,-6,-7,-13,24, 72.00 ,9,0,,0,130,,,,22,"32,672.94","1,485.13","13,366.17","17,821.56","13,366.17","13,366.17","35,643.12","34,157.99","35,643.12",8.00,,0,D04 01C15,1,,2,Selected for Review,18-Sep-15,,,,,,,,16170,
290035,2330,INV,ST,Fast,,,"Heat Exchangers (incl. Shell, Tube, Other, etc.)",Others,Maintain Current Safety Stock,EA,7,23,0,0,20,61,0,0,20.333333,1,10,0,10,13,11,10,0,10,10,0,10,-10,0,10," 7,480.00 ",10,0,,0,135,,,,0,0.00,"147,401.00","1,474,010.00","1,916,213.00","1,474,010.00","1,474,010.00","1,474,010.00","1,474,010.00","1,474,010.00",748.00,,0,,1,,2,Selected for Review,18-Sep-15,,,2014,F,,,,23869,
293929,2140,INV,ST,Fast,,,"Pipe,Fittings,Flanges(Stainless,Alloy,Other Metal,Non-Metal)",Others,Maintain Current Safety Stock,EA,11,28,0,0,11,28,0,0,9.333333,1,2,0,2,6,9,2,0,2,2,0,2,-2,0,2, 350.00 ,2,0,,0,130,,,,6,"207,272.23","34,545.37","69,090.74","207,272.22","69,090.74","69,090.74","69,090.74","69,090.74","69,090.74",175.00,,2,F36 01B4,1,,2,Selected for Review,18-Sep-15,,,,,,,,25182,
430390,6199,INV,ST,Fast,,,Corporate Other ,Others,Reduce Safety Stock,EA,32,108,0,0,101,367,0,0,104,3,100,100,199,63,104,63,104,166,63,104,-41,-62,-103,166, -   ,63,-37,,0,135,,,,368,"6,134.71",16.67,"1,667.00","1,050.21","1,050.21","1,050.21","3,317.33","2,767.22","2,767.22",0.00,,0,CB38_LDA,1,,2,Selected for Review,18-Sep-15,,,2014,F,,,,26649,
431156,2120,INV,ST,Fast,,,"Gaskets, Seals, Packing",Others,Reduce Safety Stock,EA,8,61,0,0,19,114,0,0,38,2,40,10,49,24,38,24,38,61,24,38,-14,-23,-37,61," 1,608.00 ",24,-16,,0,135,,,,44,"579,465.29","13,169.67","526,786.80","316,072.08","316,072.08","316,072.08","645,313.83","803,349.87","803,349.87",67.00,,0,E11 07A1,1,,2,Selected for Review,18-Sep-15,,,2014,F,,,,26651,
