"","Material","Year","Month","issue.count","month.count","count","Quantities"
"1",487999,2011,1,4,48,374,4
"2",487999,2011,2,8,48,374,11
"3",487999,2011,3,7,48,374,7
"4",487999,2011,4,10,48,374,11
"5",487999,2011,5,9,48,374,12
"6",487999,2011,6,8,48,374,8
"7",487999,2011,7,6,48,374,18
"8",487999,2011,8,8,48,374,8
"9",487999,2011,9,2,48,374,2
"10",487999,2011,10,7,48,374,7
"11",487999,2011,11,2,48,374,2
"12",487999,2011,12,15,48,374,16
"13",487999,2012,1,5,48,374,5
"14",487999,2012,2,6,48,374,6
"15",487999,2012,3,27,48,374,27
"16",487999,2012,4,7,48,374,12
"17",487999,2012,5,8,48,374,8
"18",487999,2012,6,4,48,374,5
"19",487999,2012,7,6,48,374,8
"20",487999,2012,8,6,48,374,7
"21",487999,2012,9,3,48,374,3
"22",487999,2012,10,5,48,374,6
"23",487999,2012,11,5,48,374,5
"24",487999,2012,12,5,48,374,5
"25",487999,2013,1,1,48,374,1
"26",487999,2013,2,5,48,374,5
"27",487999,2013,3,3,48,374,3
"28",487999,2013,4,4,48,374,5
"29",487999,2013,5,8,48,374,20
"30",487999,2013,6,11,48,374,13
"31",487999,2013,7,8,48,374,11
"32",487999,2013,8,4,48,374,4
"33",487999,2013,9,7,48,374,16
"34",487999,2013,10,1,48,374,1
"35",487999,2013,11,7,48,374,10
"36",487999,2013,12,9,48,374,12
"37",487999,2014,1,19,48,374,19
"38",487999,2014,2,14,48,374,18
"39",487999,2014,3,8,48,374,10
"40",487999,2014,4,1,48,374,1
"41",487999,2014,5,13,48,374,18
"42",487999,2014,6,8,48,374,12
"43",487999,2014,7,3,48,374,3
"44",487999,2014,8,16,48,374,27
"45",487999,2014,9,10,48,374,10
"46",487999,2014,10,24,48,374,42
"47",487999,2014,11,8,48,374,15
"48",487999,2014,12,9,48,374,12
"49",488005,2011,1,4,48,421,15
"50",488005,2011,2,10,48,421,14
"51",488005,2011,3,7,48,421,85
"52",488005,2011,4,12,48,421,12
"53",488005,2011,5,11,48,421,15
"54",488005,2011,6,6,48,421,6
"55",488005,2011,7,5,48,421,6
"56",488005,2011,8,4,48,421,4
"57",488005,2011,9,8,48,421,12
"58",488005,2011,10,6,48,421,10
"59",488005,2011,11,12,48,421,18
"60",488005,2011,12,7,48,421,19
"61",488005,2012,1,6,48,421,6
"62",488005,2012,2,10,48,421,12
"63",488005,2012,3,17,48,421,18
"64",488005,2012,4,13,48,421,23
"65",488005,2012,5,8,48,421,14
"66",488005,2012,6,9,48,421,9
"67",488005,2012,7,15,48,421,21
"68",488005,2012,8,14,48,421,21
"69",488005,2012,9,7,48,421,8
"70",488005,2012,10,6,48,421,8
"71",488005,2012,11,13,48,421,22
"72",488005,2012,12,7,48,421,12
"73",488005,2013,1,4,48,421,5
"74",488005,2013,2,6,48,421,7
"75",488005,2013,3,4,48,421,4
"76",488005,2013,4,19,48,421,30
"77",488005,2013,5,11,48,421,16
"78",488005,2013,6,21,48,421,21
"79",488005,2013,7,12,48,421,13
"80",488005,2013,8,5,48,421,5
"81",488005,2013,9,5,48,421,14
"82",488005,2013,10,2,48,421,2
"83",488005,2013,11,3,48,421,3
"84",488005,2013,12,3,48,421,4
"85",488005,2014,1,12,48,421,18
"86",488005,2014,2,5,48,421,5
"87",488005,2014,3,12,48,421,19
"88",488005,2014,4,24,48,421,28
"89",488005,2014,5,8,48,421,9
"90",488005,2014,6,9,48,421,9
"91",488005,2014,7,3,48,421,8
"92",488005,2014,8,10,48,421,14
"93",488005,2014,9,8,48,421,8
"94",488005,2014,10,11,48,421,18
"95",488005,2014,11,3,48,421,3
"96",488005,2014,12,4,48,421,4
"97",488013,2011,1,3,48,655,39
"98",488013,2011,2,2,48,655,5
"99",488013,2011,3,4,48,655,6
"100",488013,2011,4,8,48,655,33
"101",488013,2011,5,19,48,655,26
"102",488013,2011,6,35,48,655,112
"103",488013,2011,7,11,48,655,75
"104",488013,2011,8,6,48,655,30
"105",488013,2011,9,20,48,655,21
"106",488013,2011,10,10,48,655,91
