Material,Fast,Item,Posting,Document,Entry,MvT,Quantity,uom,Local Value,ngn,Group Value,usd
60484,No,1,09.02.11,09.02.11,09.02.11,201,-1,EA,"-50,675.20",NGN,-428,USD
70022,No,2,23.04.11,23.04.11,23.04.11,309,200,EA,"240,878.00",NGN,"2,046.00",USD
70393,No,1,19.04.11,19.04.11,19.04.11,351,-30,EA,"-55,293.15",NGN,-361.31,USD
70393,No,1,19.04.11,19.04.11,19.04.11,101,30,EA,"55,293.15",NGN,361.31,USD
70406,No,1,24.01.11,24.01.11,24.01.11,351,-15,EA,"-57,713.31",NGN,-490.07,USD
70408,No,2,20.01.11,20.01.11,20.01.11,309,50,EA,"60,945.01",NGN,402.68,USD
70428,No,1,05.04.11,05.04.11,05.04.11,351,-6,EA,"-13,487.59",NGN,-89.27,USD
70428,No,1,25.06.11,25.06.11,25.06.11,351,-4,EA,"-8,991.73",NGN,-59.51,USD
70428,No,1,19.07.11,19.07.11,19.07.11,261,-6,EA,"-13,487.59",NGN,-89.27,USD
70428,No,1,20.07.11,20.07.11,20.07.11,261,-6,EA,"-13,487.59",NGN,-89.27,USD
70428,No,1,30.07.11,30.07.11,30.07.11,351,-10,EA,"-22,479.31",NGN,-148.79,USD
70428,No,7,09.11.11,09.11.11,09.11.11,101,18,EA,"37,856.31",NGN,249.86,USD
70446,No,2,13.04.11,13.04.11,13.04.11,309,6,EA,"40,296.54",NGN,266.25,USD
70464,No,1,19.04.11,19.04.11,19.04.11,101,2,EA,"2,012.41",NGN,13.15,USD
70464,No,1,20.04.11,20.04.11,20.04.11,321,-2,EA,0,NGN,0,USD
70464,No,2,20.04.11,20.04.11,20.04.11,321,2,EA,0,NGN,0,USD
70464,No,1,21.04.11,21.04.11,21.04.11,261,-2,EA,"-2,012.41",NGN,-13.15,USD
70464,No,1,28.09.11,28.09.11,28.09.11,321,-10,EA,0,NGN,0,USD
70464,No,2,28.09.11,28.09.11,28.09.11,321,10,EA,0,NGN,0,USD
70464,No,1,28.09.11,28.09.11,28.09.11,101,10,EA,"10,097.51",NGN,65.73,USD
70464,No,1,08.10.11,08.10.11,08.10.11,201,-10,EA,"-10,097.51",NGN,-65.73,USD
70481,No,1,07.02.11,07.02.11,07.02.11,351,-50,EA,"-212,714.72",NGN,"-1,802.37",USD
70483,No,1,24.10.11,24.10.11,24.10.11,351,-4,EA,"-26,435.56",NGN,-224.36,USD
70485,No,1,24.01.11,24.01.11,24.01.11,351,-15,EA,"-78,968.60",NGN,-632.92,USD
70485,No,1,10.05.11,10.05.11,10.05.11,351,-10,EA,"-52,772.18",NGN,-421.95,USD
70485,No,1,13.05.11,13.05.11,13.05.11,101,10,EA,"43,381.69",NGN,280.88,USD
70485,No,1,30.08.11,30.08.11,30.08.11,101,15,EA,"64,024.21",NGN,421.31,USD
70485,No,1,24.10.11,24.10.11,24.10.11,351,-8,EA,"-38,435.88",NGN,-281.13,USD
70485,No,1,20.12.11,20.12.11,20.12.11,101,8,EA,"35,689.69",NGN,224.7,USD
70546,No,1,30.06.11,30.06.11,30.06.11,292,13,EA,"2,761.72",NGN,23.4,USD
70546,No,1,09.12.11,09.12.11,09.12.11,351,-80,EA,"-16,995.20",NGN,-144,USD
70852,No,2,23.04.11,23.04.11,23.04.11,309,50,EA,"14,035.50",NGN,119,USD
70911,No,1,27.09.11,27.09.11,27.09.11,101,4,EA,"2,800.51",NGN,18.23,USD
70911,No,6,27.09.11,27.09.11,27.09.11,101,4,EA,"2,800.51",NGN,18.23,USD
