Material,Fast,Item,Posting,Document,Entry,MvT,Quantity,uom,Local Value,NGN,Group Value,USD
23985,No,1,01.10.12,01.10.12,01.10.12,562,-1,EA,"-7,459.20",NGN,-63,USD
23985,No,4,01.10.12,01.10.12,01.10.12,561,1,EA,"7,459.20",NGN,63,USD
34265,No,2,29.02.12,29.02.12,29.02.12,101,20,PAA,"29,046.59",NGN,183.12,USD
34265,No,1,06.03.12,06.03.12,06.03.12,351,-20,PAA,"-29,046.59",NGN,-183.12,USD
34265,No,1,10.09.12,10.09.12,10.09.12,101,20,PAA,"53,870.05",NGN,342.34,USD
34265,No,1,19.09.12,19.09.12,19.09.12,201,-20,PAA,"-53,870.05",NGN,-342.34,USD
60074,No,9,17.05.12,17.05.12,17.05.12,711,-1,EA,"-11,901.57",NGN,-100.52,USD
70326,No,1,13.02.12,13.02.12,13.02.12,261,-6,EA,"-22,959.95",NGN,-151.7,USD
70326,No,1,08.06.12,08.06.12,08.06.12,101,6,EA,"23,863.55",NGN,151.7,USD
70367,No,1,20.06.12,20.06.12,20.06.12,221,-20,EA,"-350,496.84",NGN,"-2,228.10",USD
70367,No,2,20.06.12,20.06.12,20.06.12,101,20,EA,"350,496.84",NGN,"2,228.10",USD
70383,No,1,01.08.12,01.08.12,01.08.12,221,-100,EA,"-472,502.13",NGN,"-3,001.95",USD
70383,No,2,01.08.12,01.08.12,01.08.12,101,100,EA,"472,502.13",NGN,"3,001.95",USD
70428,No,1,14.06.12,14.06.12,14.06.12,351,-10,EA,"-22,420.46",NGN,-147.43,USD
70428,No,1,15.06.12,15.06.12,15.06.12,261,-4,EA,"-8,968.19",NGN,-58.97,USD
70428,No,7,29.06.12,29.06.12,29.06.12,101,60,EA,"191,567.50",NGN,"1,217.79",USD
70428,No,1,01.08.12,01.08.12,01.08.12,261,-4,EA,"-10,250.09",NGN,-66.46,USD
70428,No,1,02.12.12,02.12.12,02.12.12,261,-5,EA,"-12,815.79",NGN,-83.07,USD
70434,No,1,21.03.12,21.03.12,21.03.12,921,1,EA,0,NGN,0,USD
70479,No,1,20.06.12,20.06.12,20.06.12,351,-2,EA,"-5,230.58",NGN,-44.42,USD
70479,No,1,07.07.12,07.07.12,07.07.12,351,-2,EA,"-5,230.58",NGN,-44.41,USD
70479,No,1,07.07.12,07.07.12,07.07.12,351,-2,EA,"-5,230.58",NGN,-44.42,USD
70479,No,1,12.07.12,12.07.12,12.07.12,351,-2,EA,"-5,230.58",NGN,-44.41,USD
70483,No,8,17.05.12,17.05.12,17.05.12,711,-2,EA,"-13,217.78",NGN,-112.18,USD
70483,No,12,29.06.12,29.06.12,29.06.12,101,72,EA,"405,769.98",NGN,"2,579.47",USD
70485,No,1,25.06.12,25.06.12,25.06.12,351,-4,EA,"-18,973.55",NGN,-136.05,USD
70485,No,11,29.06.12,29.06.12,29.06.12,101,40,EA,"242,738.06",NGN,"1,543.08",USD
70493,No,1,21.09.12,21.09.12,21.09.12,351,-30,EA,"-72,546.79",NGN,-615.06,USD
70508,No,1,14.03.12,14.03.12,14.03.12,351,-4,EA,"-13,452.07",NGN,-110.33,USD
70508,No,1,14.03.12,14.03.12,14.03.12,351,-4,EA,"-13,452.07",NGN,-110.33,USD
70508,No,1,14.03.12,14.03.12,14.03.12,351,-4,EA,"-13,452.07",NGN,-110.33,USD
70511,No,1,01.11.12,01.11.12,01.11.12,351,-8,EA,"-21,569.99",NGN,-143.26,USD
70537,No,2,01.08.12,01.08.12,01.08.12,221,-100,EA,"-63,463.03",NGN,-403.2,USD
70537,No,1,01.08.12,01.08.12,01.08.12,101,100,EA,"63,463.03",NGN,403.2,USD
70546,No,1,02.06.12,02.06.12,02.06.12,221,-100,EA,"-21,244.00",NGN,-180,USD
70737,No,1,28.06.12,28.06.12,28.06.12,101,164,EA,"323,164.66",NGN,"2,054.35",USD
70737,No,8,29.06.12,29.06.12,29.06.12,101,6,EA,"11,823.23",NGN,75.16,USD
70737,No,1,21.07.12,21.07.12,21.07.12,351,-164,EA,"-323,164.79",NGN,"-2,054.35",USD
70910,No,3,01.08.12,01.08.12,01.08.12,221,-100,EA,"-187,249.01",NGN,"-1,189.65",USD
70910,No,3,01.08.12,01.08.12,01.08.12,101,100,EA,"187,249.01",NGN,"1,189.65",USD
70911,No,1,24.01.12,24.01.12,24.01.12,261,-3,EA,"-2,182.04",NGN,-13.67,USD
70911,No,1,14.02.12,14.02.12,14.02.12,261,-4,EA,"-2,909.39",NGN,-18.23,USD
70911,No,1,14.02.12,14.02.12,14.02.12,261,-4,EA,"-2,909.39",NGN,-18.23,USD
70911,No,1,30.04.12,30.04.12,30.04.12,261,-4,EA,"-2,909.39",NGN,-18.23,USD
70911,No,1,02.06.12,02.06.12,02.06.12,221,-50,EA,"-36,367.38",NGN,-227.85,USD
70911,No,1,29.06.12,29.06.12,29.06.12,101,90,EA,"89,045.48",NGN,566.06,USD
70911,No,1,04.11.12,04.11.12,04.11.12,261,-4,EA,"-3,665.68",NGN,-23.22,USD
70913,No,1,15.08.12,15.08.12,15.08.12,261,-6,EA,"-11,955.03",NGN,-78.99,USD
70914,No,1,24.01.12,24.01.12,24.01.12,261,-3,EA,"-2,860.86",NGN,-17.92,USD
70914,No,1,14.02.12,14.02.12,14.02.12,261,-4,EA,"-3,814.48",NGN,-23.9,USD
70914,No,1,14.02.12,14.02.12,14.02.12,261,-4,EA,"-3,814.48",NGN,-23.9,USD
70914,No,2,30.04.12,30.04.12,30.04.12,261,-4,EA,"-3,814.48",NGN,-23.9,USD
70914,No,1,02.06.12,02.06.12,02.06.12,221,-50,EA,"-47,680.96",NGN,-298.73,USD
70914,No,2,29.06.12,29.06.12,29.06.12,101,64,EA,"83,088.25",NGN,528.19,USD
70914,No,1,04.11.12,04.11.12,04.11.12,261,-4,EA,"-4,707.59",NGN,-29.79,USD
70917,No,2,20.06.12,20.06.12,20.06.12,221,-20,EA,"-35,082.72",NGN,-223.02,USD
70917,No,5,20.06.12,20.06.12,20.06.12,101,20,EA,"35,082.72",NGN,223.02,USD
70923,No,1,20.06.12,20.06.12,20.06.12,221,-10,EA,"-11,744.58",NGN,-74.66,USD
70923,No,1,20.06.12,20.06.12,20.06.12,101,10,EA,"11,744.58",NGN,74.66,USD
71402,No,1,21.02.12,21.02.12,21.02.12,101,30,EA,"11,542.81",NGN,72.77,USD
71402,No,1,04.03.12,04.03.12,04.03.12,351,-30,EA,"-11,542.81",NGN,-72.77,USD
71437,No,1,10.03.12,10.03.12,10.03.12,101,15,EA,0,NGN,0,USD
71437,No,1,24.03.12,24.03.12,24.03.12,351,-15,EA,"-439,267.17",NGN,"-2,899.26",USD
71442,No,3,20.06.12,20.06.12,20.06.12,221,-10,EA,"-84,420.64",NGN,-536.66,USD
71442,No,4,20.06.12,20.06.12,20.06.12,101,10,EA,"84,420.64",NGN,536.66,USD
71447,No,10,29.06.12,29.06.12,29.06.12,101,20,EA,"84,865.82",NGN,539.49,USD
71450,No,4,20.06.12,20.06.12,20.06.12,221,-30,EA,"-189,239.35",NGN,"-1,202.99",USD
71450,No,1,20.06.12,20.06.12,20.06.12,101,30,EA,"189,239.35",NGN,"1,202.99",USD
71452,No,5,20.06.12,20.06.12,20.06.12,221,-40,EA,"-218,622.82",NGN,"-1,389.78",USD
71452,No,3,20.06.12,20.06.12,20.06.12,101,40,EA,"218,622.82",NGN,"1,389.78",USD
71462,No,1,24.01.12,24.01.12,24.01.12,261,-5,EA,"-17,939.29",NGN,-112.45,USD
71462,No,1,14.02.12,14.02.12,14.02.12,261,-3,EA,"-10,763.57",NGN,-67.47,USD
71462,No,1,14.02.12,14.02.12,14.02.12,261,-3,EA,"-10,763.57",NGN,-67.47,USD
71462,No,3,30.04.12,30.04.12,30.04.12,261,-3,EA,"-10,763.57",NGN,-67.47,USD
71462,No,3,29.06.12,29.06.12,29.06.12,101,48,EA,"233,725.91",NGN,"1,485.79",USD
71462,No,1,04.11.12,04.11.12,04.11.12,261,-3,EA,"-12,460.19",NGN,-78.65,USD
71462,No,1,08.11.12,08.11.12,08.11.12,261,-3,EA,"-12,460.19",NGN,-78.65,USD
71465,No,9,29.06.12,29.06.12,29.06.12,101,20,EA,"413,725.02",NGN,"2,630.04",USD
71466,No,1,24.01.12,24.01.12,24.01.12,261,-5,EA,"-32,905.60",NGN,-206.27,USD
