"","Material","month.count"
"1",487996,48
"2",487999,48
"3",488005,48
"4",488013,48
"5",488016,48
"6",488159,48
"7",488165,48
"8",488166,48
"9",499994,48
"10",485429,47
"11",486478,47
"12",487998,47
"13",488163,47
"14",488164,47
"15",500008,47
"16",576509,47
"17",580191,47
"18",485461,46
"19",485479,46
"20",499992,46
"21",500213,46
"22",557355,46
"23",600792,46
"24",488171,45
"25",489359,45
"26",493813,45
"27",495693,45
"28",499587,45
"29",537141,45
"30",576667,45
"31",485418,44
"32",488172,44
"33",495707,44
"34",495868,44
"35",500030,44
"36",553974,44
"37",580189,44
"38",593649,44
"39",611452,44
"40",486476,43
"41",499990,43
"42",500006,43
"43",500339,43
"44",578926,43
"45",485420,42
"46",485421,42
"47",486483,42
"48",488170,42
"49",488173,42
"50",489369,42
"51",500076,42
"52",485509,41
"53",487993,41
"54",495869,41
"55",499996,41
"56",500007,41
"57",515121,41
"58",578921,41
"59",485422,40
"60",489388,40
"61",514959,40
"62",515124,40
"63",469932,39
"64",486484,39
"65",488158,39
"66",495848,39
"67",488007,38
"68",500024,38
"69",500037,38
"70",500670,38
"71",514922,38
"72",487865,37
"73",495843,37
"74",496551,37
"75",514940,37
"76",519276,37
"77",576457,37
"78",444641,36
"79",475299,36
"80",481067,36
"81",485439,36
"82",488160,36
"83",489362,36
"84",500506,36
"85",576481,36
"86",595542,36
"87",481879,35
"88",481973,35
"89",496586,35
"90",496602,35
"91",499480,35
"92",500003,35
"93",512482,35
"94",578916,35
"95",580192,35
"96",594392,35
"97",481060,34
"98",486227,34
"99",488012,34
"100",488157,34
"101",488167,34
"102",495371,34
"103",495774,34
"104",496616,34
"105",496703,34
"106",499989,34
"107",500058,34
"108",500503,34
"109",576531,34
"110",578925,34
"111",613891,34
"112",472238,33
"113",474038,33
"114",485501,33
"115",488161,33
"116",493812,33
"117",493863,33
"118",496601,33
"119",499995,33
"120",500212,33
"121",500467,33
"122",515131,33
"123",576483,33
"124",472416,32
"125",485419,32
"126",485449,32
"127",485462,32
"128",486481,32
"129",493817,32
"130",495250,32
"131",495252,32
"132",496617,32
"133",496708,32
"134",497376,32
"135",500012,32
"136",500477,32
"137",514962,32
"138",515001,32
"139",518975,32
"140",576571,32
"141",607740,32
"142",485425,31
"143",488004,31
"144",488006,31
"145",495267,31
"146",495891,31
"147",496554,31
"148",551863,31
"149",580190,31
"150",436059,30
"151",461136,30
"152",469897,30
"153",485432,30
"154",488010,30
"155",488134,30
"156",495347,30
"157",496552,30
"158",514946,30
"159",515036,30
"160",578932,30
"161",493852,29
"162",494000,29
"163",495702,29
"164",495840,29
"165",498106,29
"166",500023,29
"167",576562,29
"168",618761,29
"169",488009,28
"170",488114,28
"171",495220,28
"172",495234,28
"173",495351,28
"174",495678,28
"175",495893,28
"176",497860,28
"177",498275,28
"178",499437,28
"179",500370,28
"180",504942,28
"181",515044,28
"182",578922,28
"183",475263,27
"184",481878,27
"185",485417,27
"186",486485,27
"187",487068,27
"188",488169,27
"189",492145,27
"190",496438,27
"191",496585,27
"192",499439,27
"193",514924,27
"194",533963,27
"195",578919,27
"196",602969,27
"197",474718,26
"198",474836,26
"199",481970,26
"200",485410,26
"201",486477,26
"202",487866,26
"203",489368,26
"204",493277,26
"205",495348,26
"206",495675,26
"207",496572,26
"208",498446,26
"209",574515,26
"210",576567,26
"211",578924,26
"212",445735,25
"213",471807,25
"214",480003,25
"215",480301,25
"216",481966,25
"217",485359,25
"218",485460,25
"219",493942,25
"220",494043,25
"221",495218,25
"222",495692,25
"223",495844,25
"224",495851,25
"225",496584,25
"226",496989,25
"227",497673,25
"228",499983,25
"229",500042,25
"230",515018,25
"231",576550,25
"232",578920,25
"233",618758,25
"234",435302,24
"235",475617,24
"236",480045,24
"237",485423,24
"238",487995,24
"239",488111,24
"240",488112,24
"241",495493,24
"242",496583,24
"243",497864,24
"244",499732,24
"245",500211,24
"246",500466,24
"247",515014,24
"248",515048,24
"249",573901,24
"250",576536,24
"251",580188,24
"252",602968,24
"253",617526,24
"254",630246,24
"255",445008,23
"256",474030,23
"257",479491,23
"258",480035,23
"259",495225,23
"260",495705,23
"261",495737,23
"262",495885,23
"263",496171,23
"264",496238,23
"265",497170,23
"266",499425,23
"267",500015,23
"268",500354,23
"269",500501,23
"270",500536,23
"271",514944,23
"272",514963,23
"273",576458,23
"274",576478,23
"275",587887,23
"276",618766,23
"277",445015,22
"278",465128,22
"279",465129,22
"280",473714,22
"281",479716,22
"282",481058,22
"283",485440,22
"284",487867,22
"285",487997,22
"286",495346,22
"287",495372,22
"288",495852,22
"289",496571,22
"290",496942,22
"291",497023,22
"292",498173,22
"293",499615,22
"294",500004,22
"295",500013,22
"296",500674,22
"297",500683,22
"298",511699,22
"299",514923,22
"300",514960,22
"301",514994,22
"302",528686,22
"303",553594,22
"304",562955,22
"305",613883,22
"306",618764,22
"307",636612,22
"308",637220,22
"309",430390,21
"310",445777,21
"311",464843,21
"312",474803,21
"313",480226,21
"314",484742,21
"315",485381,21
"316",486487,21
"317",487954,21
"318",488340,21
"319",488644,21
"320",493809,21
"321",495241,21
"322",495680,21
"323",495719,21
"324",496645,21
"325",496711,21
"326",498867,21
"327",500345,21
"328",500346,21
"329",500712,21
"330",503437,21
"331",514967,21
"332",515097,21
"333",574306,21
"334",599426,21
"335",613885,21
"336",637214,21
"337",472342,20
"338",477179,20
"339",480036,20
"340",480040,20
"341",485430,20
"342",485691,20
"343",487881,20
"344",487947,20
"345",487994,20
"346",495734,20
"347",495876,20
"348",496709,20
"349",499980,20
"350",500018,20
"351",500357,20
"352",500673,20
"353",500687,20
"354",531643,20
"355",556033,20
"356",576461,20
"357",618765,20
"358",619722,20
"359",625491,20
"360",637219,20
"361",645454,20
"362",445220,19
"363",445728,19
"364",461050,19
"365",474108,19
"366",474257,19
"367",474812,19
"368",480029,19
"369",485412,19
"370",488362,19
"371",489219,19
"372",489429,19
"373",495221,19
