"","Material","month.count"
"1",487999,48
"2",488005,48
"3",488013,48
"4",488165,48
"5",488166,48
"6",499994,48
"7",485429,47
"8",487998,47
"9",488163,47
"10",488164,47
"11",580191,47
"12",485479,46
"13",487996,46
"14",500008,46
"15",499992,45
"16",486478,44
"17",488159,44
"18",580189,44
"19",593649,44
"20",488171,43
"21",495693,43
"22",500030,43
"23",576509,43
"24",485461,42
"25",486476,42
"26",488172,42
"27",499990,42
"28",500006,42
"29",500076,42
"30",493813,41
"31",499996,41
"32",500339,41
"33",576667,41
"34",578926,41
"35",485421,40
"36",495868,40
"37",499587,40
"38",500007,40
"39",514959,40
"40",469932,39
"41",487993,39
"42",489359,39
"43",495707,39
"44",485418,38
"45",500213,38
"46",514922,37
"47",515121,37
"48",515124,37
"49",553974,37
"50",485439,36
"51",485509,36
"52",488170,36
"53",488007,35
"54",488173,35
"55",444641,34
"56",500003,34
"57",500506,34
"58",576457,34
"59",578916,34
"60",580192,34
"61",486227,33
"62",487865,33
"63",489369,33
"64",496601,33
"65",496602,33
"66",514940,33
"67",472238,32
"68",481879,32
"69",485501,32
"70",488158,32
"71",496551,32
"72",497376,32
"73",500670,32
"74",514962,32
"75",515131,32
"76",481060,31
"77",481067,31
"78",481973,31
"79",488157,31
"80",493863,31
"81",496617,31
"82",499989,31
"83",576481,31
"84",580190,31
"85",594392,31
"86",613891,31
"87",469897,30
"88",485419,30
"89",485449,30
"90",496552,30
"91",500012,30
"92",500058,30
"93",488006,29
"94",488160,29
"95",499480,29
"96",485425,28
"97",488004,28
"98",493812,28
"99",493852,28
"100",496586,28
"101",496708,28
"102",498106,28
"103",500023,28
"104",500503,28
"105",518975,28
"106",472416,27
"107",485462,27
"108",488009,27
"109",488010,27
"110",489388,27
"111",499995,27
"112",500024,27
"113",488169,26
"114",495848,26
"115",495891,26
"116",496554,26
"117",496585,26
"118",514946,26
"119",557355,26
"120",576483,26
"121",485417,25
"122",495252,25
"123",496572,25
"124",496703,25
"125",499437,25
"126",499439,25
"127",499983,25
"128",500212,25
"129",500370,25
"130",445735,24
"131",486477,24
"132",488161,24
"133",493277,24
"134",495218,24
"135",495351,24
"136",445008,23
"137",474718,23
"138",481878,23
"139",488167,23
"140",495893,23
"141",496438,23
"142",497673,23
"143",500466,23
"144",480035,22
"145",480301,22
"146",485432,22
"147",493817,22
"148",495234,22
"149",495493,22
"150",495702,22
"151",496584,22
"152",512482,22
"153",514963,22
"154",637220,22
"155",487995,21
"156",489362,21
"157",495347,21
"158",495774,21
"159",496238,21
"160",496571,21
"161",514944,21
"162",514960,21
"163",514994,21
"164",613885,21
"165",637214,21
"166",480036,20
"167",495371,20
"168",496583,20
"169",500004,20
"170",500345,20
"171",537141,20
"172",556033,20
"173",580188,20
"174",602969,20
"175",637219,20
"176",465128,19
"177",474038,19
"178",475617,19
"179",481058,19
"180",481966,19
"181",485691,19
"182",487068,19
"183",487994,19
"184",487997,19
"185",495705,19
"186",498181,19
"187",578931,19
"188",587887,19
"189",637216,19
"190",430390,18
"191",480003,18
"192",484742,18
"193",488340,18
"194",488362,18
"195",488644,18
"196",493942,18
"197",495678,18
"198",495737,18
"199",500211,18
"200",500687,18
"201",602968,18
"202",613886,18
"203",437014,17
"204",445015,17
"205",460293,17
"206",474108,17
"207",495372,17
"208",495885,17
"209",496954,17
"210",497023,17
"211",499615,17
"212",514970,17
"213",431156,16
"214",481063,16
"215",488339,16
"216",489429,16
"217",495692,16
"218",496711,16
"219",498180,16
"220",499636,16
"221",499980,16
"222",500501,16
"223",500532,16
"224",531045,16
"225",552330,16
"226",481069,15
"227",485410,15
"228",487866,15
"229",487876,15
"230",496439,15
"231",496935,15
"232",500015,15
"233",514969,15
"234",544341,15
"235",594523,15
"236",606265,15
"237",448075,14
"238",480004,14
"239",486761,14
"240",487867,14
"241",488112,14
"242",488162,14
"243",495840,14
"244",496553,14
"245",496615,14
"246",496709,14
"247",496972,14
"248",498123,14
"249",500689,14
"250",514966,14
"251",523593,14
"252",464843,13
"253",471807,13
"254",472530,13
"255",485359,13
"256",485441,13
"257",488111,13
"258",495219,13
"259",495373,13
"260",495876,13
"261",496397,13
"262",496645,13
"263",496705,13
"264",496979,13
"265",511641,13
"266",514965,13
"267",515043,13
"268",531643,13
"269",553594,13
"270",587579,13
"271",594048,13
"272",594413,13
"273",599965,13
"274",625491,13
"275",636612,13
"276",456894,12
"277",460529,12
"278",475263,12
"279",478250,12
"280",480226,12
"281",482737,12
"282",482834,12
"283",485415,12
"284",485497,12
"285",487947,12
"286",489368,12
"287",494946,12
"288",495675,12
"289",495709,12
"290",495851,12
"291",496171,12
"292",496968,12
"293",498738,12
"294",515020,12
"295",563462,12
"296",576458,12
"297",594412,12
"298",480303,11
"299",485542,11
"300",487015,11
"301",488701,11
"302",492145,11
"303",493292,11
"304",495892,11
"305",499424,11
"306",499452,11
"307",500683,11
"308",558117,11
"309",562958,11
"310",564285,11
"311",587886,11
"312",613887,11
"313",637241,11
"314",469944,10
"315",472861,10
"316",474694,10
"317",480040,10
"318",485442,10
"319",495225,10
"320",495685,10
"321",496295,10
"322",496442,10
"323",496976,10
